state,act_participation,act_composite,sat_participation,sat_total,census_region
AL,1.0,19.1,0.06,1166.0,South
AK,0.33,20.8,0.43,1106.0,West
AZ,0.66,19.2,0.29,1149.0,West
AR,1.0,19.4,0.05,1169.0,South
CA,0.27,22.7,0.6,1076.0,West
CO,0.3,23.9,1.0,1025.0,West
CT,0.26,25.6,1.0,1053.0,Northeast
DE,0.17,23.8,1.0,998.0,South
FL,0.66,19.9,0.56,1099.0,South
GA,0.53,21.4,0.7,1064.0,South
HI,0.89,18.9,0.56,1010.0,West
ID,0.36,22.3,1.0,1001.0,West
IL,0.43,23.9,0.99,1019.0,Midwest
IN,0.32,22.5,0.63,1074.0,Midwest
IA,0.68,21.8,0.03,1265.0,Midwest
KS,0.71,21.6,0.04,1265.0,Midwest
KY,1.0,20.2,0.04,1248.0,South
LA,1.0,19.2,0.04,1210.0,South
ME,0.07,24.0,0.99,1013.0,Northeast
MD,0.31,22.5,0.76,1080.0,South
MA,0.25,25.5,0.8,1125.0,Northeast
MI,0.22,24.2,1.0,1011.0,Midwest
MN,0.99,21.3,0.04,1298.0,Midwest
MS,1.0,18.6,0.03,1236.0,South
MO,1.0,20.0,0.04,1262.0,Midwest
MT,1.0,20.0,0.1,1198.0,West
NE,1.0,20.1,0.03,1252.0,Midwest
NV,1.0,17.7,0.23,1140.0,West
NH,0.16,25.1,0.96,1063.0,Northeast
NJ,0.31,23.7,0.82,1094.0,Northeast
NM,0.67,19.4,0.16,1093.0,West
NY,0.27,24.5,0.79,1068.0,Northeast
NC,1.0,19.1,0.52,1098.0,South
ND,0.98,20.3,0.02,1283.0,Midwest
OH,1.0,20.3,0.18,1099.0,Midwest
OK,1.0,19.3,0.08,1062.0,South
OR,0.42,21.3,0.48,1117.0,West
PA,0.2,23.5,0.7,1086.0,Northeast
RI,0.15,24.2,0.97,1018.0,Northeast
SC,1.0,18.3,0.55,1070.0,South
SD,0.77,21.9,0.03,1240.0,Midwest
TN,1.0,19.6,0.06,1231.0,South
TX,0.45,20.7,0.66,1032.0,South
UT,1.0,20.4,0.04,1010.0,West
VT,0.24,24.1,0.64,1120.0,Northeast
VA,0.24,23.9,0.68,1117.0,South
WA,0.24,22.2,0.69,1081.0,West
WV,0.65,20.3,0.28,999.0,South
WI,1.0,20.5,0.03,1294.0,Midwest
WY,1.0,20.0,0.03,1257.0,West
