state,act_participation,act_composite,sat_participation,sat_total,census_region
AL,1.0,18.9,0.07,1143.0,South
AK,0.38,20.1,0.41,1097.0,West
AZ,0.73,19.0,0.31,1134.0,West
AR,1.0,19.3,0.06,1141.0,South
CA,0.23,22.6,0.63,1065.0,West
CO,0.27,23.8,1.0,1024.0,West
CT,0.22,25.5,1.0,1046.0,Northeast
DE,0.13,24.1,1.0,985.0,South
FL,0.54,20.1,1.0,999.0,South
GA,0.49,21.4,0.71,1058.0,South
HI,0.8,19.0,0.54,1100.0,West
ID,0.31,22.5,1.0,993.0,West
IL,0.35,24.3,1.0,1013.0,Midwest
IN,0.29,22.5,0.66,1080.0,Midwest
IA,0.66,21.6,0.03,1244.0,Midwest
KS,0.72,21.2,0.04,1241.0,Midwest
KY,1.0,19.8,0.04,1232.0,South
LA,1.0,18.8,0.05,1200.0,South
ME,0.06,24.3,0.99,1013.0,Northeast
MD,0.28,22.3,0.82,1058.0,South
MA,0.21,25.5,0.81,1120.0,Northeast
MI,0.19,24.4,1.0,1003.0,Midwest
MN,0.95,21.4,0.04,1284.0,Midwest
MS,1.0,18.4,0.03,1237.0,South
MO,0.82,20.8,0.04,1236.0,Midwest
MT,1.0,19.8,0.09,1199.0,West
NE,1.0,20.0,0.03,1260.0,Midwest
NV,1.0,17.9,0.2,1156.0,West
NH,0.14,25.0,0.95,1059.0,Northeast
NJ,0.25,24.2,0.82,1090.0,Northeast
NM,0.63,19.3,0.18,1073.0,West
NY,0.22,24.5,0.79,1064.0,Northeast
NC,1.0,19.0,0.51,1100.0,South
ND,0.96,19.9,0.02,1263.0,Midwest
OH,1.0,20.0,0.19,1097.0,Midwest
OK,1.0,18.9,0.22,963.0,South
OR,0.42,21.1,0.51,1112.0,West
PA,0.17,23.6,0.7,1082.0,Northeast
RI,0.12,24.7,1.0,995.0,Northeast
SC,0.78,18.8,0.68,1030.0,South
SD,0.75,21.6,0.03,1268.0,Midwest
TN,1.0,19.4,0.07,1220.0,South
TX,0.39,20.5,0.68,1022.0,South
UT,1.0,20.3,0.04,1230.0,West
VT,0.2,24.1,0.66,1106.0,Northeast
VA,0.21,24.0,0.68,1119.0,South
WA,0.24,22.1,0.7,1074.0,West
WV,0.49,20.8,0.99,943.0,South
WI,1.0,20.3,0.03,1283.0,Midwest
WY,1.0,19.8,0.03,1238.0,West
